GEOID,total_population,median_household_income,poverty_rate_pct,pct_no_vehicle
26147,160257,66887.0,11.70682091889902,5.616087529739805
26149,60887,62281.0,12.6693711301263,8.224721015418691
26151,40759,55740.0,14.730488971760838,5.966697502312673
26153,8062,55071.0,15.777722649466632,7.3712021136063415
26155,68124,62498.0,10.865480594210556,5.829901521933751
26157,53218,59815.0,12.106805967905595,5.200297425411284
26159,75636,65531.0,14.002591358612301,5.471309399169171
26161,370231,84245.0,13.061575070699105,8.077792123950935
26163,1781641,57223.0,19.97355247213103,12.06705971725341
26165,33766,58652.0,13.104898418527513,5.392268550163287
27001,15859,56406.0,12.17605145343338,5.178755333235251
27003,363985,95782.0,6.278280698380427,4.742912419078801
27005,35202,68683.0,10.664166808704051,5.122399886797792
27007,46274,62173.0,15.473051821757359,6.877448237269166
27009,41300,70346.0,9.152542372881356,5.302844531633154
27011,5161,63024.0,10.133695020344895,4.727921498661909
27013,69022,70906.0,15.583437164961897,6.99741792696422
27015,25880,67038.0,7.4111282843894895,4.649460003660992
27017,36362,74660.0,12.089544029481326,4.777093149691917
27019,107216,116308.0,3.7419788091329655,4.003257577685593
27021,30288,61970.0,12.060882197569994,4.470437429899055
27023,12466,62112.0,10.973848868923472,7.414521705724164
